5th,4th,3rd,2nd,1st,time,idealPitch
36.099270241791686,42.81239914515991,42.81239914515991,43.11882025044556,43.11882025044556,6.499999999999993,43
24.110087074690075,36.11008707469007,36.11008707469007,43.12963708334395,43.12963708334395,6.5999999999999925,43
36.11008707469007,47.880781199317624,47.880781199317624,42.82321597805829,42.82321597805829,6.699999999999992,43
24.09927024179169,42.81239914515991,42.81239914515991,43.11882025044556,43.11882025044556,6.799999999999992,43
24.110087074690075,36.11008707469007,36.11008707469007,43.12963708334395,43.12963708334395,6.8999999999999915,43
47.869964366419225,43.11882025044556,43.11882025044556,42.81239914515991,42.81239914515991,6.999999999999991,43
24.110087074690075,47.880781199317624,47.880781199317624,42.82321597805829,42.82321597805829,7.099999999999991,43
47.880781199317624,43.12963708334395,43.12963708334395,42.82321597805829,42.82321597805829,7.19999999999999,43
24.09927024179169,47.869964366419225,47.869964366419225,42.81239914515991,42.81239914515991,7.29999999999999,43
24.110087074690075,36.11008707469007,36.11008707469007,43.12963708334395,43.12963708334395,7.39999999999999,43
24.09927024179169,36.099270241791686,36.099270241791686,43.11882025044556,43.11882025044556,7.499999999999989,43
36.11008707469007,42.82321597805829,42.82321597805829,43.12963708334395,43.12963708334395,7.599999999999989,43
24.110087074690075,36.11008707469007,36.11008707469007,43.12963708334395,43.12963708334395,7.699999999999989,43
24.09927024179169,36.099270241791686,36.099270241791686,43.11882025044556,43.11882025044556,7.799999999999988,43
23.174056930674798,24.110087074690075,24.110087074690075,43.12963708334395,43.12963708334395,7.899999999999988,43
28.15450692202092,27.4177003860512,27.4177003860512,26.648136337014613,26.648136337014613,7.999999999999988,43
45.92802719886031,26.648136337014613,26.648136337014613,39.03719406932314,39.03719406932314,8.099999999999987,45
26.648136337014613,45.66768634566849,45.66768634566849,38.64813633701461,38.64813633701461,8.199999999999987,45
45.66768634566849,26.648136337014613,26.648136337014613,38.64813633701461,38.64813633701461,8.299999999999986,45
45.381743758100676,38.62650942540679,38.62650942540679,26.626509425406788,26.626509425406788,8.399999999999986,45
25.842765986712173,26.648136337014613,26.648136337014613,38.25013396979222,38.25013396979222,8.499999999999986,45
25.842765986712173,26.648136337014613,26.648136337014613,38.25013396979222,38.25013396979222,8.599999999999985,45
26.648136337014613,25.842765986712173,25.842765986712173,38.25013396979222,38.25013396979222,8.699999999999985,45
25.842765986712173,54.03256075018081,54.03256075018081,38.25013396979222,38.25013396979222,8.799999999999985,45
45.381743758100676,26.626509425406788,26.626509425406788,38.22850705818439,38.22850705818439,8.899999999999984,45
25.842765986712173,54.03256075018081,54.03256075018081,38.25013396979222,38.25013396979222,8.999999999999984,45
25.842765986712173,54.03256075018081,54.03256075018081,38.25013396979222,38.25013396979222,9.099999999999984,45
25.842765986712173,54.03256075018081,54.03256075018081,38.25013396979222,38.25013396979222,9.199999999999983,45
25.842765986712173,54.03256075018081,54.03256075018081,38.25013396979222,38.25013396979222,9.299999999999983,45
25.821139075104348,54.01093383857299,54.01093383857299,38.22850705818439,38.22850705818439,9.399999999999983,45
53.87000236812544,37.84276598671217,37.84276598671217,25.842765986712173,25.842765986712173,9.499999999999982,45
25.842765986712173,53.87000236812544,53.87000236812544,-1,-1,9.599999999999982,45
-1,4.1545069220209205,4.1545069220209205,-1,-1,9.699999999999982,45
-1,-1,-1,-1,-1,9.799999999999981,45
-1,6.801589066450471,6.801589066450471,-1,-1,9.89999999999998,45
40.86123119066374,28.861231190663737,28.861231190663737,47.648397300914446,47.648397300914446,9.99999999999998,45
40.51147504274954,56.44513097743793,56.44513097743793,47.648397300914446,47.648397300914446,10.09999999999998,47
40.51147504274954,28.15450692202092,28.15450692202092,47.41285161992725,47.41285161992725,10.19999999999998,47
47.880781199317624,56.58531263800956,56.58531263800956,47.648397300914446,47.648397300914446,10.29999999999998,47
40.48984813114171,56.28217805251386,56.28217805251386,47.39122470831943,47.39122470831943,10.399999999999979,47
47.880781199317624,56.58531263800956,56.58531263800956,47.648397300914446,47.648397300914446,10.499999999999979,47
40.51147504274954,47.648397300914446,47.648397300914446,47.41285161992725,47.41285161992725,10.599999999999978,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,10.699999999999978,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,10.799999999999978,47
40.48984813114171,56.4235040658301,56.4235040658301,47.626770389306614,47.626770389306614,10.899999999999977,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,10.999999999999977,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,11.099999999999977,47
40.51147504274954,56.44513097743793,56.44513097743793,47.648397300914446,47.648397300914446,11.199999999999976,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,11.299999999999976,47
40.48984813114171,56.28217805251386,56.28217805251386,47.39122470831943,47.39122470831943,11.399999999999975,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,11.499999999999975,47
40.51147504274954,56.44513097743793,56.44513097743793,47.648397300914446,47.648397300914446,11.599999999999975,47
40.51147504274954,56.30380496412168,56.30380496412168,47.41285161992725,47.41285161992725,11.699999999999974,47
28.15450692202092,47.17405693067479,47.17405693067479,47.41285161992725,47.41285161992725,11.799999999999974,47
47.39122470831943,47.626770389306614,47.626770389306614,40.48984813114171,40.48984813114171,11.899999999999974,47
41.20406101702499,40.51147504274954,40.51147504274954,40.86123119066374,40.86123119066374,11.999999999999973,47
30.823215978058293,32.01764406066927,32.01764406066927,31.43072885489791,31.43072885489791,12.099999999999973,49
31.43072885489791,30.193606939328664,30.193606939328664,30.823215978058293,30.823215978058293,12.199999999999973,49
29.540233531060156,30.823215978058293,30.823215978058293,30.193606939328664,30.193606939328664,12.299999999999972,49
42.801589066450475,30.171980027720846,30.171980027720846,30.80158906645047,30.80158906645047,12.399999999999972,49
31.43072885489791,30.193606939328664,30.193606939328664,30.823215978058293,30.823215978058293,12.499999999999972,49
42.51127347566296,30.823215978058293,30.823215978058293,30.193606939328664,30.193606939328664,12.599999999999971,49
42.51127347566296,30.823215978058293,30.823215978058293,30.193606939328664,30.193606939328664,12.69999999999997,49
30.823215978058293,42.19360693932866,42.19360693932866,30.193606939328664,30.193606939328664,12.79999999999997,49
